IYEAR,IMONTH,IDAY,MAXF,AVGF,MINF
2021,10,14,49,46,43
2021,10,15,45,42.3,40
2021,10,16,56,43.2,33
2021,10,17,63,44.3,29
2021,10,18,70,47.8,29
2021,10,19,70,49.6,32
2021,10,20,46,43.4,36
2021,10,21,45,34.1,26
2021,10,22,42,33.6,21
2021,10,23,44,32.6,23
2021,10,24,47,30.7,18
2021,10,25,48,35.7,26
2021,10,26,48,36.6,26
2021,10,27,44,42.1,39
2021,10,28,46,44.4,42
2021,10,29,54,41.8,28
2021,10,30,48,35.7,26
2021,10,31,40,34.4,31
2021,11,1,39,32.5,29
2021,11,2,36,31.1,26
2021,11,3,40,30.3,18
2021,11,4,47,28.7,14
2021,11,5,53,35.4,21
2021,11,6,61,49,31
2021,11,7,57,40.8,26
2021,11,8,48,38,20
2021,11,9,50,29.2,16
2021,11,10,46,34.8,18
2021,11,11,37,32.8,32
2021,11,12,33,31.1,28
2021,11,13,29,26.6,24
2021,11,14,26,23.5,8
2021,11,15,29,15.8,3
2021,11,16,35,30.9,24
2021,11,17,32,28.9,25
2021,11,18,27,23.8,11
2021,11,19,33,22.5,7
2021,11,20,34,24.8,12
2021,11,21,26,19.8,10
2021,11,22,21,17.3,11
2021,11,23,40,24,6
2021,11,24,31,24.3,15
2021,11,25,14,6.5,-3
2021,11,26,26,17.5,4
2021,11,27,31,23.9,19
2021,11,28,26,21.3,15
2021,11,29,31,24.5,16
2021,11,30,31,26.3,18
2021,12,1,41,31.3,25
2021,12,2,38,31.4,26
2021,12,3,34,28.9,26
2021,12,4,24,19.6,15
2021,12,5,25,22.6,17
2021,12,6,22,3.2,-20
2021,12,7,11,-5.2,-18
2021,12,8,17,8,-5
2021,12,9,30,25.7,18
2021,12,10,25,16.6,5
2021,12,11,29,17.5,1
2021,12,12,40,28.8,18
2021,12,13,35,26.2,13
2021,12,14,38,33.1,25
2021,12,15,41,38.6,36
2021,12,16,41,20.6,5
2021,12,17,13,8.7,4
2021,12,18,11,8.6,3
2021,12,19,23,14.8,6
2021,12,20,24,7.9,-5
2021,12,21,9,5,-2
2021,12,22,15,-0.8,-14
2021,12,23,26,16.5,11
2021,12,24,42,29.2,11
2021,12,25,9,5.4,0
2021,12,26,25,8.8,-9
2021,12,27,27,20.1,4
2021,12,28,20,11.1,-2
2021,12,29,7,-5.4,-15
2021,12,30,10,1.9,-11
2021,12,31,7,-0.8,-21
2022,1,1,-10,-22.4,-32
2022,1,2,0,-18.8,-37
2022,1,3,10,1.2,-13
2022,1,4,22,11.7,2
2022,1,5,7,0,-10
2022,1,6,-6,-11.1,-18
2022,1,7,4,-10.3,-33
2022,1,8,20,10.8,-2
2022,1,9,-3,-8.9,-16
2022,1,10,-5,-14.1,-20
2022,1,11,27,13.3,-3
2022,1,12,26,18.4,13
2022,1,13,25,17.1,-2
2022,1,14,11,4.6,-5
2022,1,15,15,-2.2,-19
2022,1,16,23,16.9,10
2022,1,17,25,18.8,10
2022,1,18,29,20.1,6
2022,1,19,5,-2.2,-15
2022,1,20,0,-17.8,-28
2022,1,21,14,3.3,-27
2022,1,22,17,2.3,-12
2022,1,23,1,-7.7,-28
2022,1,24,1,-5.9,-13
2022,1,25,-7,-17.9,-31
2022,1,26,24,2.8,-34
2022,1,27,24,9.6,-16
2022,1,28,9,-6.9,-22
2022,1,29,21,8.2,-11
2022,1,30,18,11.2,6
2022,1,31,23,16.3,5
2022,2,1,24,12.9,-5
2022,2,2,-4,-9.4,-17
2022,2,3,1,-15.5,-35
2022,2,4,5,-6.4,-20
2022,2,5,8,2.2,-19
2022,2,6,10,8.6,6
2022,2,7,14,5.3,-15
2022,2,8,37,24.1,1
2022,2,9,32,21.2,11
2022,2,10,25,15.8,7
2022,2,11,26,7.6,-11
2022,2,12,-2,-16.3,-33
2022,2,13,3,-8.4,-36
2022,2,14,8,-8.6,-26
2022,2,15,17,6.4,-18
2022,2,16,18,13,-3
2022,2,17,0,-11.9,-28
2022,2,18,14,-0.6,-30
2022,2,19,19,1.2,-17
2022,2,20,27,19.7,6
2022,2,21,6,-0.1,-4
2022,2,22,1,-2,-5
2022,2,23,5,-8.7,-30
2022,2,24,8,-14.2,-34
2022,2,25,14,-5.5,-33
2022,2,26,31,12.7,-8
2022,2,27,22,14.4,1
2022,2,28,29,21.1,16
2022,3,1,28,17.8,0
2022,3,2,22,14.5,1
2022,3,3,19,2.2,-11
2022,3,4,28,14.2,-5
2022,3,5,27,24.8,24
2022,3,6,27,23.3,18
2022,3,7,30,16.7,3
2022,3,8,33,22.3,8
2022,3,9,13,6.7,-13
2022,3,10,16,0.8,-23
2022,3,11,14,3.5,-9
2022,3,12,13,1.9,-23
2022,3,13,17,14.7,13
2022,3,14,34,19.1,7
2022,3,15,48,34,10
2022,3,16,54,41.4,34
2022,3,17,39,35.1,32
2022,3,18,41,33.6,23
2022,3,19,49,25.3,18
2022,3,20,52,35.1,18
2022,3,21,43,36.9,32
2022,3,22,33,31.1,30
2022,3,23,34,31.1,28
2022,3,24,44,33,26
2022,3,25,36,26.5,14
2022,3,26,21,13.6,9
2022,3,27,20,9.8,0
2022,3,28,32,16.5,-4
2022,3,29,37,31.4,25
2022,3,30,33,29.5,28
2022,3,31,33,26.2,22
2022,4,1,44,29.9,10
2022,4,2,37,33.4,30
2022,4,3,38,31.8,21
2022,4,4,43,30.3,25
2022,4,5,37,32.8,28
2022,4,6,38,34.2,32
2022,4,7,33,29.7,27
2022,4,8,39,31.3,24
2022,4,9,49,35.2,18
2022,4,10,47,38,28
2022,4,11,46,35.3,25
2022,4,12,42,34.2,23
2022,4,13,39,34.4,29
2022,4,14,32,26.9,19
2022,4,15,23,17.6,14
2022,4,16,35,21.8,16
2022,4,17,37,27.8,15
2022,4,18,33,29,26
2022,4,19,41,30.8,18
2022,4,20,37,33,29
2022,4,21,42,34.2,28
2022,4,22,41,36.6,31
2022,4,23,51,43.1,35
2022,4,24,49,40.7,35
2022,4,25,34,28.4,21
2022,4,26,30,23.6,19
2022,4,27,44,29.9,15
2022,4,28,50,36.9,21
2022,4,29,49,42.1,36
2022,4,30,47,41.9,40
2022,5,1,42,39.3,37
2022,5,2,46,38.3,34
2022,5,3,52,40.3,30
2022,5,4,59,42.3,24
2022,5,5,65,47.6,27
2022,5,6,65,48.8,27
2022,5,7,70,53.4,30
2022,5,8,54,50,47
2022,5,9,72,56.2,49
2022,5,10,72,59.9,44
2022,5,11,71,54.4,36
2022,5,12,61,53.8,50
2022,5,13,71,59.6,53
2022,5,14,68,54.4,39
2022,5,15,67,54.8,40
2022,5,16,58,47.9,35
2022,5,17,62,46.1,29
2022,5,18,66,52.6,38
2022,5,19,56,51.2,47
2022,5,20,61,47.1,37
2022,5,21,44,38.2,32
2022,5,22,54,43,32
2022,5,23,61,48,30
2022,5,24,69,53,32
2022,5,25,52,47.3,44
2022,5,26,60,49.4,39
2022,5,27,75,56.6,32
2022,5,28,59,55.2,50
2022,5,29,68,57.6,50
2022,5,30,74,62.8,57
2022,5,31,59,54.7,47
2022,6,1,66,53.8,40
2022,6,2,64,52.1,35
2022,6,3,61,48.9,37
2022,6,4,71,55.4,35
2022,6,5,72,56.4,33
2022,6,6,67,57.1,43
2022,6,7,70,55.8,36
2022,6,8,71,57.5,41
2022,6,9,72,56.8,37
2022,6,10,74,59.2,39
2022,6,11,72,59.7,51
2022,6,12,70,58.3,40
2022,6,13,70,59.5,51
2022,6,14,81,67.5,56
2022,6,15,77,62.8,57
2022,6,16,70,62.6,57
2022,6,17,74,64.1,47
2022,6,18,65,54.3,41
2022,6,19,90,71.7,47
2022,6,20,93,80.6,68
2022,6,21,78,60,0
2022,6,22,74,62.8,52
2022,6,23,86,67.3,48
2022,6,24,82,64.9,52
2022,6,25,73,63.9,59
2022,6,26,62,55.1,43
2022,6,27,76,58.8,36
2022,6,28,68,59.1,46
2022,6,29,67,57.3,38
2022,6,30,79,67.6,56
